selection,mutation,pop_size,gens,time,best_pop
elitist,adaptive,35,500,10.108647584915161,5000000.0
elitist,adaptive,40,50,1.208949089050293,4999999.98092
elitist,adaptive,40,100,2.363191843032837,5000000.0
elitist,adaptive,40,150,3.532426357269287,5000000.0
elitist,adaptive,40,200,4.613783121109009,5000000.0
elitist,adaptive,40,250,5.726893901824951,5000000.0
elitist,adaptive,40,300,6.880144119262695,5000000.0
elitist,adaptive,40,350,8.051592350006104,5000000.0
elitist,adaptive,40,400,9.148945093154907,5000000.0
elitist,adaptive,40,450,10.34778356552124,5000000.0
elitist,adaptive,40,500,11.516393899917603,5000000.0
elitist,adaptive,45,50,1.3058030605316162,4999999.99535
elitist,adaptive,45,100,2.6368556022644043,5000000.0
elitist,adaptive,45,150,3.860650062561035,5000000.0
elitist,adaptive,45,200,5.165884733200073,5000000.0
elitist,adaptive,45,250,6.449891090393066,5000000.0
elitist,adaptive,45,300,7.802021026611328,5000000.0
elitist,adaptive,45,350,8.94581151008606,5000000.0
elitist,adaptive,45,400,10.451651096343994,5000000.0
elitist,adaptive,45,450,11.557218313217163,5000000.0
elitist,adaptive,45,500,12.851267337799072,5000000.0
elitist,adaptive,50,50,1.4393396377563477,4999999.99417
elitist,adaptive,50,100,2.8989992141723633,5000000.0
elitist,adaptive,50,150,4.3378190994262695,5000000.0
elitist,adaptive,50,200,5.722198486328125,5000000.0
elitist,adaptive,50,250,7.162810564041138,5000000.0
elitist,adaptive,50,300,8.644211053848267,5000000.0
elitist,adaptive,50,350,10.06045913696289,5000000.0
elitist,adaptive,50,400,11.416871070861816,5000000.0
elitist,adaptive,50,450,12.842394828796387,5000000.0
elitist,adaptive,50,500,14.529605388641357,5000000.0
offspring,0.2,5,50,0.12560129165649414,3417299.80168
offspring,0.2,5,100,0.25188732147216797,4174816.81859
offspring,0.2,5,150,0.3801107406616211,4049638.88685
offspring,0.2,5,200,0.513141393661499,3602765.41484
offspring,0.2,5,250,0.6781995296478271,3379677.44981
offspring,0.2,5,300,0.814246654510498,3136900.66169
offspring,0.2,5,350,0.9345085620880127,2826330.03705
offspring,0.2,5,400,2.156899929046631,3151688.38828
offspring,0.2,5,450,2.064393997192383,2842985.63682
offspring,0.2,5,500,5.289588928222656,3177326.19131
offspring,0.2,10,50,0.25170087814331055,3284856.2953
offspring,0.2,10,100,0.5020468235015869,2265289.43116
offspring,0.2,10,150,0.765239953994751,3427523.8523
offspring,0.2,10,200,1.0293946266174316,4000538.04684
offspring,0.2,10,250,1.373730182647705,4180927.74678
offspring,0.2,10,300,1.5819027423858643,3604249.55936
offspring,0.2,10,350,2.2930715084075928,3334830.96296
offspring,0.2,10,400,2.7358851432800293,3303438.4006
offspring,0.2,10,450,6.540302753448486,3496518.03362
offspring,0.2,10,500,14.237114191055298,2972061.75453
offspring,0.2,15,50,0.38077497482299805,3956856.42214
offspring,0.2,15,100,0.7546513080596924,4905296.40497
offspring,0.2,15,150,1.1540653705596924,4375677.57071
offspring,0.2,15,200,1.5693824291229248,3789469.87028
offspring,0.2,15,250,1.9684321880340576,4188693.98221
