0.74205,0.29668,0.25051,0.10838,0.86172,0.52759,0.80306,0.48691,0.15675,0.72787,0.86287,0.43992,0.077595|1
0.98679,0.49382,0.36494,0.053846,0.822,0.43131,0.7238,0.73546,0.060159,0.75191,0.81982,0.70187,0.025095|1
0.70778,0.27456,0.22891,0.1361,0.89474,0.4976,0.76085,0.55344,0.16753,1,0.89178,0.53798,0.12322|1
1,0.53741,0.39941,0.052312,0.76801,0.57644,0.70845,0.64286,0.073019,0.69702,0.7321,0.62563,0.023758|1
0.88232,0.43898,0.34861,0.07954,0.82073,0.76332,0.57135,0.65732,0.14289,0.77914,0.64305,0.59427,0.079413|1
0.9689,0.48148,0.34463,0.06336,0.8811,0.77679,0.64762,0.55572,0.11791,0.6742,0.66243,0.51637,0.03989|1
0.78129,0.35442,0.26392,0.06497,0.87824,0.43376,0.73369,0.67887,0.10309,0.91277,0.95587,0.68607,0.073218|1
0.70543,0.29559,0.28325,0.26881,0.83412,0.6306,0.72946,0.4928,0.18843,0.75486,0.7839,0.45538,0.10771|1
0.84859,0.86715,0.86447,0.17622,0.15939,0.17429,0.70696,0.96889,0.019062,0.64633,0.67882,1,0.0065683|2
0.82626,0.8429,0.7901,0.15275,0.20494,0.34079,0.82969,0.65104,0.033584,0.76115,0.71902,0.78412,0.0073744|2
0.87448,0.88106,0.85278,0.13527,0.17382,0.43987,0.72306,0.76593,0.034644,0.68872,0.60614,0.65525,0.0063632|2
0.84582,0.84288,0.77777,0.14086,0.2478,0.50068,0.69834,0.74688,0.041068,0.66572,0.60887,0.66947,0.0089133|2
0.66918,0.66908,0.55999,0.15276,0.3574,0.47305,1,0.30717,0.069157,0.7786,0.91262,0.30527,0.0082305|2
0.88641,0.90041,0.85943,0.16405,0.19628,0.4447,0.56623,1,0.031674,0.62981,0.47689,0.79755,0.0089368|2
0.81039,0.8258,0.76084,0.1586,0.23561,0.31438,0.74758,0.79223,0.0305,0.74071,0.71276,0.88857,0.0091296|2
0.82729,0.82881,0.77246,0.13879,0.22193,0.35965,0.81205,0.67367,0.034807,0.76496,0.77436,0.70995,0.0072967|2
0.78205,0.85363,0.68509,0.20014,0.3333,0.56018,0.80307,0.54404,0.047674,0.52063,0.6432,0.52518,0.007796|3
0.47022,0.52946,0.31769,0.20309,0.59439,0.63408,0.85781,0.33626,0.15142,0.65746,0.76942,0.31883,0.037772|3
0.50787,0.57114,0.33578,0.20175,0.62274,0.48347,0.88387,0.43704,0.10209,0.75756,0.89552,0.44288,0.030831|3
0.63901,0.71146,0.50269,0.20413,0.45118,0.46915,0.85874,0.51035,0.062807,0.75384,0.853,0.52564,0.014469|3
0.66729,0.74056,0.50697,0.20501,0.5098,0.69871,0.55897,0.76947,0.087675,0.76266,0.57604,0.66167,0.035638|3
0.69067,0.76612,0.54195,0.20776,0.46558,0.80777,0.59427,0.63305,0.096606,0.6427,0.55037,0.54575,0.028534|3
0.88378,0.94615,0.7904,0.18933,0.30483,0.5215,0.78402,0.60951,0.036121,0.50505,0.58502,0.58329,0.0052867|3
0.81082,0.88531,0.72191,0.2006,0.319,0.61006,0.81567,0.48662,0.047671,0.46796,0.57985,0.50644,0.0067457|3
0.96993,0.62376,0.43292,0.064127,0.728,0.4785,0.73145,0.68362,0.05399,0.76827,0.80398,0.73189,0.017841|4
0.57444,0.244,0.1601,0.05362,0.99241,0.57623,0.81992,0.32496,0.28484,0.91141,0.8927,0.34691,0.16731|4
0.76339,0.41101,0.2887,0.056122,0.82276,0.70925,0.66628,0.53656,0.16184,0.78827,0.75584,0.5485,0.087882|4
0.93496,0.61183,0.43604,0.064647,0.70224,0.59065,0.65217,0.69623,0.069688,0.79511,0.74316,0.79272,0.02851|4
0.71548,0.35191,0.23267,0.048918,0.90801,0.6046,0.79468,0.42115,0.16801,0.85483,0.90211,0.45952,0.07724|4
0.88941,0.55044,0.33305,0.071046,0.86739,0.61757,0.83745,0.41834,0.083474,0.52735,0.79623,0.4437,0.018091|4
0.86549,0.57973,0.41379,0.066137,0.70422,0.81658,0.67864,0.48263,0.11292,0.57208,0.64159,0.48094,0.030522|4
0.71663,0.36079,0.23998,0.055191,0.89315,0.62983,0.76665,0.45427,0.16571,0.68149,0.83093,0.43487,0.074023|4
0.95389,0.62057,0.42959,0.065831,0.72655,0.43785,0.8463,0.55523,0.052644,0.71038,0.81443,0.59433,0.012314|5
0.71395,0.37609,0.23899,0.055842,0.8997,0.47116,0.88469,0.42789,0.12863,0.85691,0.95451,0.40687,0.045655|5
0.9766,0.66206,0.47044,0.071937,0.69189,0.43515,0.78429,0.65603,0.045646,0.65833,0.77942,0.6509,0.011676|5
0.75875,0.3783,0.25206,0.055698,0.89704,0.34804,0.84288,0.6004,0.092035,0.91173,1,0.57555,0.048174|5
0.96653,0.63085,0.46046,0.07566,0.70651,0.58898,0.67986,0.6856,0.064619,0.70519,0.6682,0.63953,0.019038|5
0.89356,0.5877,0.40852,0.070914,0.72537,0.4305,0.76728,0.67409,0.055427,0.71,0.79539,0.67878,0.018467|5
0.61707,0.30226,0.19324,0.052399,0.94921,0.48126,0.8572,0.42214,0.1839,0.88839,0.89791,0.39045,0.088987|5
0.65859,0.30391,0.23227,0.080387,0.8862,0.6257,0.77183,0.41861,0.2117,0.87324,0.7964,0.39266,0.1039|5
0.6105,0.54801,0.47828,0.10066,0.35107,0.61971,0.65784,0.65458,0.10933,0.79983,0.76021,0.63952,0.057978|6
0.61717,0.58568,0.51073,0.11934,0.32412,0.72713,0.60334,0.6476,0.12567,0.72754,0.66628,0.60652,0.063303|6
0.39003,0.33294,0.27222,0.097068,0.4671,0.70665,0.66444,0.43539,0.3128,0.95594,0.73574,0.42369,0.2674|6
0.6363,0.60638,0.56553,0.11662,0.25157,0.59151,0.62563,0.74851,0.08766,0.72384,0.6827,0.65918,0.04352|6
0.36481,0.26524,0.1977,0.19757,0.79691,0.99156,0.33144,0.21334,1,0.60594,0.33312,0.16394,1|6
0.67487,0.60685,0.53527,0.096153,0.3376,0.66941,0.62706,0.6715,0.1008,0.74062,0.70169,0.64205,0.046482|6
0.43983,0.39017,0.33232,0.098382,0.38779,0.90336,0.6198,0.3514,0.34096,0.72123,0.56875,0.2719,0.14549|6
0.3651,0.31732,0.26688,0.10431,0.47134,0.71075,0.67711,0.41327,0.3343,0.94424,0.66376,0.32393,0.22456|6
0.62786,0.69722,0.51404,0.20404,0.41937,0.42708,0.77755,0.6516,0.057279,0.82673,0.83479,0.71143,0.020188|7
0.56101,0.63128,0.3716,0.20258,0.69108,1,0.61361,0.39989,0.18839,0.54014,0.48437,0.33751,0.048554|7
0.60689,0.68981,0.46519,0.20994,0.504,0.47708,0.80925,0.57378,0.065283,0.6898,0.84283,0.57758,0.01893|7
0.65099,0.7353,0.50593,0.20832,0.48108,0.48694,0.79461,0.59482,0.059315,0.67508,0.74366,0.59367,0.015525|7
0.65669,0.74206,0.51805,0.20923,0.46675,0.39603,0.85522,0.56146,0.050407,0.78865,0.90744,0.67231,0.014018|7
0.64108,0.73084,0.50786,0.21344,0.47237,0.65086,0.74826,0.53276,0.07863,0.55126,0.6465,0.51201,0.018857|7
0.656,0.7648,0.4489,0.21314,0.66192,0.85172,0.7776,0.33245,0.099516,0.46619,0.59814,0.31749,0.013869|7
0.66604,0.73756,0.54863,0.20314,0.41869,0.46168,0.76259,0.64934,0.0534,0.72672,0.78297,0.72599,0.017517|7
0.87681,0.64396,0.67789,0.58833,0.40744,0.55562,0.71366,0.67757,0.055551,0.57953,0.69326,0.57045,0.014157|8
0.70147,0.46972,0.51947,0.68024,0.43659,0.2773,0.81103,0.73816,0.054152,0.70689,0.88762,0.63378,0.024616|8
0.56617,0.35313,0.35574,0.5738,0.59665,0.46158,0.82913,0.51598,0.13489,0.85799,0.89836,0.44767,0.066651|8
0.68019,0.47382,0.4791,0.55648,0.51448,0.49161,0.79379,0.58363,0.084246,0.71112,0.82238,0.50585,0.029748|8
0.76579,0.62286,0.63523,0.51873,0.38486,0.56971,0.82824,0.49963,0.059605,0.54932,0.73336,0.42183,0.010522|8
0.80821,0.62824,0.6666,0.5448,0.38083,0.53985,0.66361,0.75189,0.057313,0.61528,0.65392,0.68933,0.0202|8
0.86617,0.59277,0.65434,0.57278,0.36843,0.37061,0.80329,0.68359,0.044719,0.60002,0.82252,0.62504,0.012769|8
0.81447,0.56254,0.60929,0.54267,0.3777,0.36968,0.95985,0.45533,0.052344,0.59134,0.90169,0.41959,0.0093863|8
0.86614,0.48116,0.65984,1,0.50659,0.48741,0.7259,0.69743,0.067505,0.62592,0.74831,0.60547,0.024712|9
0.87926,0.4898,0.62428,0.88549,0.49813,0.45436,0.74129,0.69368,0.062903,0.66247,0.81431,0.65396,0.024155|9
0.8729,0.47494,0.62507,0.94697,0.50591,0.45887,0.75942,0.67053,0.066693,0.65097,0.78925,0.58056,0.022811|9
0.64403,0.18811,0.29218,0.97923,1,0.72353,0.737,0.33257,0.30517,0.64321,0.71677,0.30172,0.15318|9
0.50205,0.15649,0.23998,0.93872,0.9683,0.68903,0.7291,0.25173,0.46286,0.73023,0.72033,0.24025,0.29296|9
0.75929,0.35288,0.48777,0.93231,0.64098,0.35482,0.83376,0.62389,0.080254,0.7138,0.94335,0.5625,0.038484|9
0.89915,0.5512,0.67879,0.8323,0.43566,0.35658,0.77715,0.73449,0.043998,0.58788,0.80956,0.6521,0.014006|9
0.63536,0.31052,0.38668,0.79452,0.64106,0.3932,0.90676,0.46164,0.11864,0.7589,0.96655,0.43225,0.051082|9
0.67155,0.6927,0.56876,0.17143,0.33706,0.38386,0.95411,0.44187,0.05711,0.76931,0.82812,0.47162,0.010324|10
0.8301,0.84685,0.7582,0.16062,0.25718,0.45792,0.71,0.76636,0.038934,0.68393,0.55595,0.67646,0.0084005|10
0.94112,1,1,0.20267,0.12188,0.18584,0.76254,0.90051,0.017359,0.52029,0.56055,0.84495,0.0035157|10
0.83651,0.87371,0.81784,0.16959,0.19736,0.5368,0.84507,0.51879,0.041772,0.49812,0.51985,0.44074,0.0048997|10
0.78542,0.80692,0.73042,0.15805,0.2336,0.53518,0.78298,0.60124,0.050418,0.67933,0.56373,0.50608,0.0080234|10
0.78434,0.80943,0.7115,0.16382,0.26502,0.5511,0.75234,0.63289,0.05076,0.59253,0.55531,0.53512,0.0090234|10
0.87078,0.90917,0.89903,0.17943,0.15047,0.25602,0.7329,0.89938,0.021126,0.52238,0.62043,0.75663,0.0045235|10
0.86692,0.90379,0.8507,0.17673,0.19915,0.40529,0.70255,0.82578,0.029919,0.56213,0.54616,0.7079,0.0062066|10


